,artist,song,album,lyrics
70,Big Daddy Kane,28 Bars Of Kane,,"On the streets of Brooklyn, you see this kid looking
Tightning his MJ's, white and cement grey
You're sure to see a pair of Jordan 3's
Now you wanna talk legendary talk to me
Some break records, so no one forget 'em
But we don't break records, we the ones to set 'em
What's in a legend but cutting edges, perfection
With one obsession for staying on the top of his profession
And if it ain't broke, we don't fix it
And no remixes, no pre-fixes
And if it ain't hot we ain't repping it
You ain't getting no half stepping
Half court lames that could never play a full
Any little game just to see what they could call
A wolf in sheep clothing gonna lie and say it's wool
You wanna be like Mike then save the bull
Many try to stick 'em, many try to pick 'em
And think slow, you made your D silent like Django
A broken ankle, and now your tanks low
One octane, but homie, not Kane for short
It's evident I'm the rawest specimen
Warlords and testaments to change your regimen
Spitting to the beat or either the record spin
You wanna see the magic? All I need is just a pen
Sheer excellence, to say thus far
You can ask Isaac Newton how you greet a star
You asked for 16, I went way too far
And I gave you 28, just to raise the bars"
71,Big Daddy Kane,2 Da Good Tymz,Veteranz Day,"Times was simply plain I knew they'd eventually change
Let's take a trip down memory lane
With the game talker, native new yorker
Gators on my feet, formerly british walker
Yes love, that's how it was before
When you was funky fresh or down by law
Parlay with your crew at the corner store
Carrying a boom box 'til your arms were sore
We be wildin' on the corner free stylin'
Or politickin' 'bout doe we see pilin'
Or either girls we be getting with, how we be hitting it
Lying bout skins that we didn't get
Slow moving at paces through the rat races
The jordache look and fat laces
Making moves any type of way
I remember it like yesterday, hey
Chorus
Here's to you
That's how it was before
When you was funky fresh or down by law
Way back in the days how we used to do
Thank you for the good times y'all
Repeat
Verse 2
D?ja vu, things ain't nothing new
Shorties make me think how we used to do
When you couldn't be sleeping, if you plan on keeping
Hold of your sheepskin, heads do be peeping
Think it can't happen to you, now could it?
Came to school wearing Puma's went home barefooted
And on the weekends when everybody click
To slide to the deuce to check karate flicks
Come back around the way after dark
So the crew could embark on the jam in the park
What would happen that night, was to scrap in a fight
Only way to break it up was playing Rappers Delight
And as I sit back watching you
Shorties out there doing what you got to do
I feel for you being sincere
Cause where you trying to go I already been there, yeah
Chorus
Verse 3
Ain't nothing but love I got to give
I don't playa hate cause we all got to live
That negative lifestyle I prohibit
Good life I got to live it, bubbly I got to sip it
Now I'll admit that I sort of be flashing
But yet and still I do it in an orderly fashion
Bring on the honeys and watch me mack these, stack cheese
Go on with your bad self, black caes
Just when the game got the stakes set high
Straight from bed stuy, the return of the jedi
With a jewel cause I'm tired of seeing
Charges being brought up, on brothers getting caught up
Now it's about time we connect, organize and collect
A new wold order's in effect
I send this out to the shorties in the hood
I wanna see you all live good"
72,Ol' Dirty Bastard,96 recreation (demo),,"Yeah, start wit that one
Yo, yo, yo, my acustic futuristic lingustic rap fabric
Is a mixture of arabic sandscript in it?s italics
I talk quick, y?all bitches can?t comprehend my dick release spit
Wit love should I release hits
We travel through bodies like blood vessels
All y?all crab niggas try to wrestle to be on top of this pedastool
Slang doctrine, minoxin, lyrical toxin, I?m chessboxin
Words is rushin through like a herd of angry oxen!!
Fatal for these pussy cat niggas is dead weight
Concentrate, my murder rate excellerate, terminate
So spoil like coke in the foil
Knock knock, I shot the whole block
Electricity, flow splendidly
Internally inside of me like tony starks tee
I create excellency, one-sixty call l-o-u-n-g assist me
Papi wardrobe is key, roll promptly
For slang hall, vocabulary igor, frankenstein mind
Rewind for a minute while I dig down your track, stupid
I move quick shit is accurate, kojack tactics
Chaos, killa bee minds, high society blackness, spread the rumor
My lyrical marv-el makin more cream than carvel
Y?all niggas best to hold your weight like barbell
To my verbal swordsman school, students don?t play truant
My most prudent pupil, rhyme under influence
Of alcohol and to-bacco, mushrooms imported from morocco
Bellies on the rocks, and a twenty sack of choco
Wit forty tales and gold around the fist, bitch I carve
Glitters on the paper so my family won?t starve
I?m deep in the shit, I stay highly involved
Never inconceited, never been beated
Been trapped in many wars but not yet retreated
My style you need it, I just write to read it
It?s all fresh lyric, no nothing gets repeated
I came a long way and guess what, I succeeded
I conquer my opponent, and feed him baby food
Cuz he?s childish and illiterate, and ye has been rude
To the father year me, o-r-i-g
Respond to the war wit the killa bee law
Scavenger nigga, you?s a shhriimp
A full line of shhiit, my ear can digest iiit
Stop drinkin all that water, let?s take it to the land
So I can godzilla up your shit mister tiny tim man
Niggas be creepin up my beanstalk
When I start to come down on your fuckin ass
You tried to chop shit on up
Played my shit like parks bitch, I?m that
Legendary microphone?s weaponary
You secondary bitch-ass fairies
Scary cats won?t survive this verbal attack
You think you?re slang can match
The wu-tang, emphatically now cypher
You fake crumbs, you should be stung on your tongue
While you young guns bunge, we plunge into the grunge
Deep into the dark dungeon, we come in one wind
Nine minds combine to form the wisest rhyme force to summon
I be the quoted mathematical combination
Unloadin mysteries of life, you feel my solar wind blowin
Just then, I came on the stage like wind
Blew slang in your face and it touch your skin
You felt chilly, just like you smoked a bag of illy
You need a coat just to protect your throat
Two pairs of socks, kid I?m cold like ice rise
Chap-lipped duds can?t fuck wit the chatterbox
Cherry heads felt the draft of the ox
Shaolin niggas won?t fuck wit one block *pause*
Broke forgot about half the slang murderer
Down wit the union big street sling murderer
Terrorizin, move I?m tranquelizin
Fast getaway wit the slow speed drivin
Two miles an hour, cappa do it wit the power
Somebody blow something, cut fool in the tower"
73,Ol' Dirty Bastard,All in Together Now,Nigga Please,"Yeah youknowhatI'msayin
It's all I'm saying
Knahmsayin, yo I'mma tell all y'all motherfuckers something
Knahmsayin, I'm a Dalmation knahmsayin
Motherfucker I'm white and I'm black what
You can't understand it then fuck you, knahmsayin
I love this, motherfucker I need this
We work from hand to hand, from country to town
From city to state, from world to world nigga
From universe to universe
It's a white and black thing, all the world leaders
It's all, and together, I said peace, and love, from happiness
You understand me
??, turn me up
Ah turn me up (x7)
White girls shake your ass
Black girls shake your ass
Everybody shake your ass
C'mon shake your ass
Turn me up motherfuckers getting hot in here
Niggas all getting hot in here
Everybody getting hot in here
Whiteys getting hot in here
Blackies getting hot in here
Somebody getting hot in here
Everybody getting hot in here
Red people getting hot in here
Yellow people getting hot in here
Blue people getting hot in here
Aliens gettin hot in here
Somebody gettin hot in here
White people getting hot in here
Black people getting hot in here
Everybody gettin hot in here
The chamber of this banger, is 36th chamber
Understand Equality Slang, that of Allah's name
Played the rabbit, like you dead
Mork from Ork, first take support see me in The Source
Yo I take the eighty-five percent brain
Cause Black makes what makes rain
Dirty brain is like payday to me
GOD unique baby
Who's the Five Percent of the planet Earth
Tell em Poppa Wu, well it sure ain't Poppa Smurf
Got to check your blood, take you to church
Ministers down with the nerds
Ever since birth
White man always trying to take the Black man's turf
Black man built America
I named you after Asia, you ain't my Momma
Now her name is Erika, Bo Derek-ah
What, you like that slave name
It wasn't 'posed to sound better
New Wu order, New Rule order
For all the maniacs in jail read this letter
Be behind me when I'm making this cheddar
Cause I'mma make it more better for our babies
Cause they play in the same schoolyards everyday
C'mon, c'mon, c'mon, c'mon, c'mon
You've, got, that WHITE WHITE WHITE WHITE
White man clock on your wall
I'm tired of gettin up goin to work
For that white, white, white, white man y'all
I's got a bad boss
These thoughts was fucking Diana Ross
I ain't no ??, making this money
Nuh, show yourself
Whitey come on, get the money
My Father Allah walk with Gods
Just like the dollar bill walk with God We Trust
And I walk this dog, two-thousand two-hundred miles for you
What, let the ?? know it's done
Hey blackie, yo whitey
It's all, all, all in together now
We getting paid getting dressed for the weather now
All, all, all in together now
We getting paid gettin dressed for the weather now
All, all in together now
Getting paid getting dressed for the weather now
All in together now
We're getting paid getting dressed for the weather now, peace
It's all in together now
New World Order baby, knahmsayin
Y'all recognize it's together
You understand me, it's the Dirt Dog speaking
My word is bond and my bond is life
It's all in together now my niggas and my niggarettes
My peoples don't worry about it
It's all slang from the same gang
I'm black out, and I'm black in
I'm white out, and I'm white in, so what"
74,Mobb Deep,Adrenaline,Murda Muzik,"It's that war shit
It's that war shit
And you know what dun

It makes you sick to hear the Mobb bang like this
Infamous for the world to hate or play this
Don't give a fuck if you can't rock to this
My duns heads bop to this
We stand out like a terrace
And make more noise than them other rap niggas
No gimmicks
Just pure adrenaline
Raw lyrics incredible beats
Don't mean to rub it in
But your small time beneath our feet
Straight ass cheeks niggas be askin
For ass whippings
Guns kick like Pel?
My big shit be jumping like Jordan
Often lay a man down on the floor when it gets like that
I'm not blowing off rounds so you can hear sounds
So you can run back actin like you a vet
And swearin' you dead
You survived some real shit
Now what's this it's not going down like this
Ground that nigga like punishment
Dumpin' out full clips when we dumb out
Though I'd rather do music and chill the fuck out
Dun you bugged out I'm trying to walk a peaceful route
But niggas always got mouth until that piece come out
Niggas always gonna think something sweet
Until they least expect you bringing action exactly

It be the guns, money, pussy, cars, drugs, jewels, clothes
Brawls, killings, boroughs, buildings, disease, stress, in these ,N.Y.C

Feel the gat blow while your shit rips
My shit'll hit while you letting niggas go
So you can lower the wrist
That'll only put odds against any attempt
Any provoke uprise you ain't got it in you
First of all you too soft for fastball
Point game track y'all merk like a jaguar nascar
And be out buck 80 on the slow mar
Hennesy spillin' all over my radar
Stay charged niggas getting amped off the mobb shit
Have you wilding out on some club shit
Fit to make you dance at the same time
Stop and glance
Slap flames out the nigga with the wrong idea
Young shit with young mind but that quite contraire
Young nigga smart nigga
Who started from the stairs
How dare
You try to come around the way
In fear like a nigga that been there for years
Shout words that we live but don't play with it
Cause when the shit go down you be like they did it


Taste test this Military shit
Bitches love this
They mans wanna dub this
Thugness it ain't easy to find
Shit like mine I'm a rare species
You's a dime a gross
That's a dozen heast the least
Keep silence the most
Regulate with the rest of my establishment
Blast out the pockets of coats
Make the cops boat
I break down your whole background yo
Irons...a permanent flesh your clothes soakin'
You feel the shots pain every heartbeat throbbin'
Don't get excited you'll only make it worse fighting
Spent most of my nights graveyard shifting
Make burial grounds be that man grim reaper
With all pleasure
Lift his feet up
Pick your heat up
Let's do it like the crematory
Make it hot make the temperature rise like mercury

When I feel like getting bent
Yo don't fuck with it dun
I'mma drink away the pain until the brain get numb
Can't take all my dogs getting lost in the fog
Never to return I guess they heard God's call
And nature don't surprise me now
Prepare for the worst and never believe the silver line clouds
Scrutinize crowds
My surroundings
Get suspect we start four-pounding shit
Picture me up in the mix
With the next man broke and is on my dick
A good man of plenty but an enemy it was clear
I just be another problem that he feenin' to fix
But I can't have that
Pull out I try to grab that
Caught one nigga like Mahadat


Tonight we gon' get this party early
So let's get it right"
75,Mobb Deep,Air It Out,,"Somebody gon'(na) die in this bitch
We about to ""air it out""

I don't know what convinced you to mention the mobb
Must of been bent straight of the alcohol
Once you crossed that path, fuck with that cash
Quick, fast have a sick clique get up in that ass
Gold Pee nigga with the cracks in his ass
Pretty Tone homey with the mack in the grass
They buck you then fuck your boo where she shit at
Then we profit from it, and spit it on the tridack (track)
Letting the world know you a bitch ass kidat (cat)
And how your own hood disrespect you where you live at
They be hey all day how you let him do that
Noyd and his clique I think you better get at
But don't gas your dog he ain't built for that
I will spit 'em all right through his fitted kiddap (cap)
Jump out with the midack (mack) on Broadway and Housten
Right in front of thousand and put it in efidack (effect)
I'm a pay!

The word is out, Noyd is out
And he about to Air it out
Oh y'all think it's a game, better bring those things
He Gon'(na) show you what a gangsta's (a)bout

Ayo...Nigga better back up off please
When you got tough, huh? thun you lost me
You never grind enough you're a Mr. Softy
Truly the Ruger will kill you softly
Then we see then yeah who the boss be
Smoke your little clique like a bag of the Hersey
How the fuck it's all good, Nigga the hood is thirsty
Peep the big six and you want to test me
Gon' make my gun spit, y'all niggas kill me
Gon' have my gun, sitting on your ear piece
Having your bitch screaming please don't kill me
I don't owe you shit and I ain't your daddy
I don't own the six I own the ""Navi""
And I'm sitting deep this nigga sweet like candy
You niggas want beef you know get right at me
QB nigga that's why you can't stand me (You know cause . . .)

The word is out, Noyd is out
And he about to Air it out
Oh y'all think it's a game, better bring those things
He Gon'(na) show you what a gangsta's bout

See we don't back down we go pound for pound
Tech for tech right on the block emptying clips
Buck something leave motha fuckas hitting the deck
And then one by one motha fuckas be dead
The word is out, Noyd is out
East coast, Weat coast down to the dirty south
Catch anybody flossin' I'm airing it out
With the nine hollow tips man I'm spittin' 'em out
Listen out cause I'm emptying out for that bling
That watch and that chain put a bullet in your brain
Not a thing I'm a gangsta this is what I do
Go to war wuth the bangers and eat niggas food
When I'm starvin' I'm robbin' that's how it is thun
If I'm lying I'm flying word to everything I love
Don't get it twist nigga cause I twist niggas cap back
That QB gutter shit bringing it bidack (back)

The word is out, Noyd is out
And he about to Air it out
Oh y'all think it's a game, better bring those things
He Gon'(na) show you what a gangsta's bout"
76,Chance The Rapper,10 Day Outfit (10 Day Listening Party),10 Day,
77,Chance The Rapper,10 Day [Tracklist + Cover Art],10 Day,"TracklistMixtape Cover

Cover Art - ""Windows""

Cover Art - ""Family""

Cover Art - ""Hey Ma"""
78,Logic,16 Bars Freestyle,,"Living life like this is so crazy
This world is amazing
One day you're on top and then she having your baby
Living life like this I get down... Uhh
When they come around
I do my best to fall back and not, not make a sound
Feel like my mind gone but I'm still here
Don't fuck around cause they kill here
This music, it kill fear
I use it when I need to hear
Been there, done that
Drop this shit, they gonna run it back
Stupid shit, man I'm done with that
Fake rap, take it back
My chain heavy, got a lot of money, my bitch bad, have fun with that
I've been there and don't want it back
If I see the bitch I might run it back cause I'm gone"
79,Logic,1-800-273-8255,Everybody,"I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
(Who can relate? Woo!)
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I don't wanna be alive
I don't wanna be alive
I just wanna die today
I just wanna die
I don't wanna be alive
I don't wanna be alive
I just wanna die
And let me tell you why

All this other shit I'm talkin' 'bout they think they know it
I've been praying for somebody to save me, no one's heroic
And my life don't even matter, I know it, I know it
I know I'm hurting deep down but can't show it
I never had a place to call my own
I never had a home, ain't nobody callin' my phone
Where you been? Where you at? What's on your mind?
They say every life precious but nobody care about mine

I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
(Who can relate? Woo!)
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I want you to be alive
I want you to be alive
You don't gotta die today
You don't gotta die
I want you to be alive
I want you to be alive
You don't gotta die
Now lemme tell you why

It's the very first breath
When your head's been drowning underwater
And it's the lightness in the air
When you're there
Chest to chest with a lover
It's holding on, though the road's long
And seeing light in the darkest things
And when you stare at your reflection
Finally knowing who it is
I know that you'll thank God you did

I know where you been, where you are, where you goin'
I know you're the reason I believe in life
What's the day without a little night?
I'm just tryna shed a little light
It can be hard
It can be so hard
But you gotta live right now
You got everything to give right now

I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
(Who can relate? Woo!)
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I finally wanna be alive
I finally wanna be alive
I don't wanna die today
I don't wanna die
I finally wanna be alive
I finally wanna be alive
I don't wanna die
I don't wanna die

Pain don't hurt the same, I know
The lane I travel feels alone
But I'm moving 'til my legs give out
And I see my tears melt in the snow
But I don't wanna cry
I don't wanna cry anymore
I wanna feel alive
I don't even wanna die anymore
Oh I don't wanna
I don't wanna
I don't even wanna die anymore"
80,Cypress Hill,16 Men Till There's No Men Left,Cypress Hill IV,"Ladies and gentlemen
We would like to present to you
A group that is simply just marvelous, just marvelous
Ladies and gentlemen, Cypress, Hill
 16 men on a dead man's list
 Yo-ho-ho and a bag of indo!
 16 men till there's no one left
 Yo-ho-ho and a bag of indo!
Verse One: B-Real
So many fuckin emcees claim supremacy
On whose got hip-hop locked, it could never be
One who is solo, runnin the whole game
That's bullshit, like cops never sniffed cocaine
But I'm taking on all comers, droppin bombers
Reducin numbers, makin it hot like the summer
This, one emcee he couldn't deal with the skill
Like Jack did Jill, I rolled his ass down the Hill
Beaten broken and coughin and chokin on the rhyme
Like a hooker, suckin a dick for the first time
His, rhyme was hollow with no flow to follow
Bust a nut, all in your mouth, and made him swollow
I take 16 emcees, lock em in a room
Make em feel the contact, eatin the mushrooms
Playin with your mind, makin you feel the Force
Had to cancel out, two punk niggas up in The Source
Tried to get XXL, they still fell
Bitches go tell your troubles to Montel
 16 men now there's 13 left
 Yo-ho-ho and a bag of indo!
 16 men now there's 13 left
 Yo-ho-ho and a bag of indo!
Verse Two: B-Real
I'm trippin on the people controllin the airwaves
Got it goin on, you know it all, but God save
Your ass for clashin with the Soul Assassin
That's like Mike fuckin with Poppa Joe Jackson
Ass-whoop all over the place, you can't hide behind
The physical, better run to the spiritual
Ass-whoop critical, or you can get it
From the lyrical, bitch-made niggas are invisible
Dysfunctional, hypocritical, smile in your face
The fuckin cynical shit brains
As I sit back and say, TALLY-HO!
One of these days your punk ass gonna go
Guess you had a key to figure the fuckin flow
But you're locked out, and the bomb's about to blow
 16 men let me see who's next
 Yo-ho-ho and a bag of indo!
 16 men till there's no one left
 Yo-ho-ho and a bag of indo!
Verse Three: B-Real
Twelve punks to go, who's next on the list
Matter of fact I got one in my head to fix
There was one particular fool in the circle who fell off
Greed overcame the nigga who at all costs
Changed up to gain it all, but shared none
Who made him all the money to overcome?
Niggas up on the Hill, in the lab
He was rollin big balla style, high profile
Oh child, make me wanna act juvenile
All smiles, right in my face, but wait a minute now
Welcome to the 360, degrees
Pay a fee when you fuckin your people over the cheese
No soul, no conscience, no loyalty
To the niggas who got him treated, like royalty
Aiyyo time's up, you're gonna end up seein visions
Of everybody, you fucked over, you're Scared Sober
 16 men till there's no one left
 Yo-ho-ho them niggas has gotta go
 16 men till there's no one left
 Yo-ho-ho them niggas has gotta go
Verse Four: B-Real
Fuck the hater with the symbol and no soul
And that bitch nigga who stole my car stereo
Trick Deez, gets no love, she gets nuts
Like Ass Miller, and that fuckin ex-dealer
Can't forget the nigga who was down with the Hill-a
And that punk who tried to dip into the squealer
You get bucked like C. Tucker and Will Bennett
Let me step, over the hump, and represent it
You go down like Jerry, and get smacked
Like Trick Leo, now here's your fuckin eulogy-o!
 That was 16 men now there's no one left
 Yo-ho-ho and a bag of indo
 16 men now there's no one left
 Yo-ho-ho and a bag of indo"
81,Cypress Hill,3 Lil' Putos,Black Sunday,"""Live and direct""
One little two little three little putos
Tried to jack me they got the boot-o
Taking no shit when push comes to shove
Cause a nigga showed me no love
Step back punk cause I'm a Latino
What I bring you is the hardcore lingo
Funky, but ya don't understand
Now I gotta stand with the Glock in my hand
No scope
And there's no hope
Cause I'm dishin'
Out my .45 slug and it ain't missin'
Here it comes hissin'
Here it comes hummin' at ya
Now the slug is comin' at ya
One little two little three hoodlums
Gotta hit the ground cause here the slug comes
What do you know, click clack goes the gun
Make 'em run boy, make 'em run boy, make 'em run
Cuando entro, loaded is the cuete
Speakin' to the gente
Cause I'm insane in the mente
Movin' em back, click-click goes the gun
Make 'em run boy, make 'em run boy, make 'em run
It's no fun
When I got to break you off some
Of the psycobeta beatdown, boy you get done
Serio
Here we go
Come for the muchacho
I don't think you really want some of these chingazos
Me caso you don't hear this little lazo
Cypress Hill, breaking you off a pedazo
Humming at ya
Don't make me come gatt ya
Punk cause I still will be comin' at ya
One little two little three hoodlums
Gotta hit the ground cause here the slug comes
What do you know, click clack goes the gun
Make 'em run boy, make 'em run boy, make 'em run
When I come in, kickin' with a vengeance
Swift of the engines
Coming like the three little indians
Stompin' around on the ground on the plains
Cause a nigga like me is goin' insane
In the brain
So I gotta maintain
My direction
What I mighta gained
Without my protection
Not a damn thing
So when I come just bring
That new style, break ya off like a chicken wing
Buckooock!!
So you can just suck my cock
Like a fat blunt, stoned is the way of the walk
When I'm peepin'
Checkin' out the punk-ass creepin'
I let the dogs loose then I let the dogs sick 'em
Graaah! Nigga don't make me catch ya
Punk cause I still will be comin' at ya
One little two little three hoodlums
Gotta hit the ground cause here the slug comes
What do you know, click clack goes the gun
Make 'em run boy, make 'em run boy, make 'em run"
82,Ice-T,409,Rhyme Pays,"It's time to start the party if ya'll don't mind
Me and ""E"" clean our Adidas with 409
He rocks the highs,I dog the bass
Ya wanna hear us rock?
Here's a taste!!!
Every day I make a sandwich with ham and cheese
Use miracle whip,I don't like mayonnaise
I eat a can of beans,good for my heart
About 1 a.m.,I always.....
Far from me to bite anothers rhyme
They're just too easy to write
I do'em two at a time
Like doggin' the wax and ya don't quit
And if you didn't like that then suck my....
Dictations how I write my raps
Cold maxin' with two freaks upon my lap
Chillin' on the phone,bookin' more def shows
An' if the freaks get illy I smack the....
Whole days of my life are spent inside my bed
Just maxin' an' relaxin' like I'm at club med
Ya say you like this record,you think it's fun?
Party people get stupid we just begun!!!
(break)
You're get,get,gettin' real stupid
As the beat hits your body get ill!!!
You ain't dumb you paid dollars to party go off!!
The girl you're dancin' with has got great hips bug out!!
Go on homeboy and grab her.....
Tape recorder turn up the bass
No time to waste just dog the place
R-R-R-Rocket like a missile in space
Evil E keeps his 1200s in an anvil case
We fly T.W.A.,Pan Am,P.S.A
To places close to home,far away
L.A.,New York,Detroit,Miami
If I see a girl and like her then I let her see my....
Jam rockin's how I got my fame,Ice capital T
Evil E's his name
If you can't see who's rockin' you must be blind
You better clean your gazelles with some 409!!!
Go Ice get busy (x2)
Go Evil Get busy (X2)
Turn up your stereo,equalize treble
Bass be kickin' stupid hard as metal
On the mic tonight that's right your rhyme opponent
M.C. Ice T just microphonin'
33 and 1/3 revolutions per minute
This record is def because my heart is in it
Vocals laid by the Ice,tempos tight and precise
Special effects will be created by an editor's splice
The funk is in it,ya dig it so stop that frontin'
Bust a move to my groove work your body do somethin'
No way in the world that you can deny my method
As my record rotates,my words get more impressive
I'm an M.C., Evil's my Dj on Sire Records not M.C.A
C.B.S.,Capitol,cause they move too slow
Now Sire/Warner Bros. clocks all the dough
As the record revolves money's gettin' made
A.S.C.A.P. pays me every time it's played
I chill in def leathers pure silks and suede
And the gold around my neck will never fade
Down with my Syndicate organized rhyme
Kickin' def tempos that I design
And if you can't hear'em thats such a crime
You better wash your dirty ears with some 409
I always rhyme elite,stay on beat
Travel in a posse when I walk the street
Loved to say my rhymes when I used to max
Now I don't speak much,I save my words for wax
I just wanna make a little point in this song
With a little nonsense we can all get along and on and on
Till the break'a break of dawn
This jam will never play out because the grooves too strong
Guys grab a girl,girls grab a guy
If a guy wants a guy,please take it outside
I wanna make ya enjoy yourself
On the mic tonight Ice T!!Who else?
Evil's on the cuts,Henry Gee's shot gun
Islam's my producer,Bambattas son
Bronx Style Bob's cold watchin' my back
Melle Mel's just layin' for some punks to act wack
Grandmaster Caz and Donald D ,Scott La Rock
Red Alert,Chuck Chill Out
If you're down with my crew you will be fine
But if you ill we'll get dirty-bring your 409!!
(BREAK)
409......"
83,Ice-T,6 'N the Mornin',Rhyme Pays,"6 in the morning, police at my door
Fresh Adidas squeak across the bathroom floor
Out my back window I make a escape
Don't even get a chance to grab my old school tape
Mad with no music, but happy cause free
And the streets to a player is the place to be
Got a knot in my pocket, weighing at least a grand
Gold on my neck, my pistols close at hand
I'm a self-made monster of the city streets
Remotely controlled by hard hip-hop beats
But just living in the city is a serious task
Didn't know what the cops wanted, didn't have time to ask


Seen my homeboys cooling way way out
Told 'em bout my morning cold bugged' em out
Shot a little dice til my knees got sore
Kicked around some stories bout the night before
Posse to the corner where the fly girls chill
Threw action at some freaks until one bitch got ill
She started acting silly simply would not quit
Called us all punk pussies, said we all weren't shit
As we walked over to her, ho continued to speak
So we beat the bitch down in the goddamn street
But just living in the city is a serious task
Bitch didn't know what hit her, didn't have time to ask

-Word-

Continued clocking freaks with immense posterior
Rolling in a Blazer with a louie interior
Solid gold the ride was raw, bust a left turn was on Crenshaw
Sean-e-sean was the driver, known to give freaks hell
Had a beeper goin' off like a high school bell
Looked in the mirror, what did we see?
Fucking blue lights: L.A.P.D
Pigs searched our car, their day was made
Found an Uzi, .44 and a hand grenade
Threw us in the county high power block, no freaks to see no beats to rock
Didn't want trouble but the shit must fly, squabbled this sucker shanked em in the eye
But just living in the county is a serious task
Nigga didn't know what happened, didn't have time to ask


Back on the streets after five and a deuce
Seven years later but still had the juice
My homeboy Ken Gee put me up the track
Told me E's rolling Villain, BJ's got the sack
Bruce is a giant - Nat C's clocking dough
Be bop's a pimp, my old freaks a ho
The batter rams rolling, rocks are the thing
Life has no meaning and money is king
Then he looked at me slowly and Hen had to grin
He said, man you out early, we thought you got ten
Opened his safe kicked me down with cold cash
Knew I would get busy, he didn't waste time to ask


I bought a Benz with the money the rest went to clothes
Went to the strip started pimping the hoes
My hair had grew long on my seven year stay
And when I got it done on my shoulders it lay
Hard from the joint but fly to my heart
I didn't want trouble but the shit had to start
Out with my crew, some punks got loud
Shot gun blasts echoed through the crowd
Six punks hit, two punks died
All causalities was applied to their side
Human lives has to pass just for talking much trash
We didn't know who they were, no one had the time to ask


Swat team leader yelled, hit the floor
Reached in my pocket pulled my .44
Dove across the room peeped out the window
Twenty cops jumped behind a Pinto
Out the back door like some damn track stars
Broke down an alley jumped into a car
Suckers didn't even see us, they musta been blind
Black wire touched red the car was mine
We hadn't done nothing but some suckers got shot
Hit the first turn, goddamn road block
Broke through the block and we did it fast
Cops wouldn't shot us on sight, they wouldn't took time to ask


The rollers gave chase at a serious speed, one more conviction was all I need
This shit was for real, it was no La-Di-Da-Di
Cause the boys had to pin the shit on somebody
And me and my crew, we were known to get ill
We carried heat for protection but not to kill
We bust a corner doing 60, one police car spun
And all I was thinking was, murder one
Bust a move into an alley and did it right
And me and my crew, we're gone into the night
Broke to my old lady's who drew me a bath
She didn't even know what happened, didn't care, didn't ask


We made love like crazy on top of the sheets
This girlie was my worlie, a natural freak
She ran her tongue over each and every part of me
Then she rocked my Amadeus while I watched TV
A technician with a mission that's what she was
If there had been a crowd she would of got an applause
This girl did everything on Earth to me that could be done
The she backed off and teased me so I couldn't cum
Then she cold got stupid pushed me on the floor
Had me begging to stop as I was screaming for more
After she waxed my body she let me crash
She knew her loving was def, she didn't waste time to ask


Up the next morning, feeling good as hell
Sleeping with a girlie sure beats a cell
Hit the boulevard in my A.M.G
Ho's catching whiplash, trying to glimpse the T
Ring on my mobile yes cellular
Got to have a phone when I'm in my car
Was my homeboy Red Some say he's insane
Broke his bitch jaw for smoking 'caine
Told me to meet him at the airport
Said he's jumping bail said he just left court
Caught the first thing smoking in a serious dash
Didn't know where we were going, didn't care, didn't ask


Fell asleep on the plane and so did he, woke up chilling in N.Y.C
Called up my posse when I got there, hit the Latin Quarter and Union Square
Rooftop devil's nest the rest we passed, back doored the Palladium just for class
About 4 a.m. we crashed the deuce, we never catch static cause my boys got juice
Deuced it to the Bronx to rest our heads
Where a shoot-out jumped off, nine people lay dead
It sounded like it happened with a Mac-10 blast
But it was 6 in the morning, we didn't wake up to ask"
